0 81 {}
0 124 {}
0 249 {}
0 335 {}
0 737 {}
229 176 {}
229 238 {}
229 272 {}
229 502 {}
229 614 {}
229 671 {}
229 728 {}
229 995 {}
471 28 {}
471 597 {}
471 905 {}
499 146 {}
499 172 {}
679 997 {}
1 185 {}
1 329 {}
17 544 {}
17 744 {}
35 303 {}
35 368 {}
56 158 {}
56 265 {}
219 729 {}
219 826 {}
219 846 {}
233 488 {}
306 77 {}
547 298 {}
812 259 {}
860 443 {}
860 603 {}
881 376 {}
881 865 {}
2 390 {}
2 643 {}
31 279 {}
31 478 {}
31 597 {}
31 851 {}
127 144 {}
127 255 {}
127 771 {}
250 322 {}
250 570 {}
250 660 {}
250 835 {}
366 173 {}
366 185 {}
366 198 {}
366 435 {}
366 984 {}
638 55 {}
638 375 {}
638 567 {}
764 348 {}
883 839 {}
883 859 {}
3 889 {}
42 664 {}
141 81 {}
141 132 {}
141 722 {}
603 595 {}
4 627 {}
181 619 {}
349 77 {}
349 117 {}
349 312 {}
349 608 {}
349 628 {}
349 672 {}
918 114 {}
918 197 {}
918 225 {}
918 396 {}
918 545 {}
918 550 {}
918 875 {}
5 72 {}
5 496 {}
39 636 {}
303 9 {}
303 51 {}
516 379 {}
516 668 {}
516 898 {}
752 72 {}
752 853 {}
752 929 {}
752 973 {}
785 12 {}
785 861 {}
6 402 {}
6 608 {}
6 898 {}
667 164 {}
667 543 {}
667 853 {}
817 92 {}
817 265 {}
817 782 {}
379 762 {}
430 183 {}
430 465 {}
462 421 {}
655 799 {}
655 986 {}
663 336 {}
663 442 {}
663 797 {}
836 21 {}
836 874 {}
8 51 {}
8 773 {}
8 788 {}
170 334 {}
170 406 {}
170 494 {}
170 508 {}
605 340 {}
605 510 {}
605 736 {}
605 942 {}
605 955 {}
9 89 {}
94 439 {}
94 455 {}
94 692 {}
94 695 {}
94 721 {}
94 767 {}
314 339 {}
314 378 {}
314 445 {}
541 975 {}
658 96 {}
658 111 {}
658 194 {}
658 234 {}
658 634 {}
658 721 {}
10 381 {}
10 753 {}
10 792 {}
14 477 {}
830 124 {}
897 762 {}
897 894 {}
986 353 {}
11 176 {}
80 276 {}
80 279 {}
80 429 {}
97 917 {}
97 931 {}
544 971 {}
715 222 {}
715 418 {}
12 162 {}
12 311 {}
654 287 {}
654 835 {}
718 722 {}
771 571 {}
936 510 {}
936 549 {}
991 142 {}
13 162 {}
13 357 {}
158 62 {}
158 295 {}
238 32 {}
400 451 {}
400 992 {}
574 367 {}
758 256 {}
15 117 {}
15 142 {}
15 275 {}
514 294 {}
514 380 {}
514 420 {}
514 575 {}
514 621 {}
514 824 {}
652 478 {}
652 669 {}
652 707 {}
684 206 {}
684 821 {}
684 977 {}
797 48 {}
797 81 {}
797 321 {}
797 696 {}
797 768 {}
16 254 {}
16 257 {}
16 587 {}
16 689 {}
175 140 {}
383 319 {}
467 18 {}
467 83 {}
467 261 {}
467 930 {}
534 734 {}
948 493 {}
956 393 {}
956 839 {}
884 386 {}
884 696 {}
884 831 {}
884 952 {}
907 91 {}
907 586 {}
917 825 {}
19 72 {}
19 329 {}
19 437 {}
19 635 {}
52 308 {}
120 44 {}
120 48 {}
120 374 {}
591 192 {}
591 201 {}
838 331 {}
874 878 {}
20 517 {}
129 186 {}
274 590 {}
274 960 {}
506 382 {}
506 611 {}
622 368 {}
622 515 {}
800 99 {}
800 440 {}
800 946 {}
827 119 {}
21 146 {}
21 456 {}
21 629 {}
140 415 {}
140 600 {}
140 701 {}
140 733 {}
310 533 {}
735 607 {}
744 934 {}
22 637 {}
22 739 {}
578 84 {}
578 989 {}
23 155 {}
23 353 {}
83 212 {}
83 871 {}
83 910 {}
425 746 {}
24 361 {}
185 196 {}
200 601 {}
200 669 {}
207 279 {}
762 717 {}
762 894 {}
787 192 {}
825 91 {}
825 284 {}
326 355 {}
326 432 {}
326 633 {}
732 952 {}
753 257 {}
924 312 {}
924 493 {}
924 717 {}
26 282 {}
920 54 {}
920 67 {}
920 682 {}
213 439 {}
213 584 {}
213 912 {}
241 34 {}
241 54 {}
241 979 {}
666 745 {}
666 747 {}
821 411 {}
821 519 {}
909 858 {}
28 165 {}
28 224 {}
482 142 {}
482 523 {}
482 763 {}
482 995 {}
460 553 {}
670 786 {}
670 998 {}
30 607 {}
30 847 {}
228 110 {}
32 210 {}
32 745 {}
92 222 {}
231 916 {}
374 244 {}
374 847 {}
767 382 {}
972 971 {}
974 93 {}
974 298 {}
974 598 {}
974 786 {}
33 393 {}
33 554 {}
33 719 {}
208 197 {}
969 316 {}
34 172 {}
34 978 {}
393 143 {}
393 983 {}
717 417 {}
717 423 {}
36 582 {}
73 162 {}
73 774 {}
73 905 {}
73 953 {}
463 100 {}
594 61 {}
594 324 {}
594 452 {}
751 234 {}
751 272 {}
751 557 {}
751 561 {}
751 840 {}
38 179 {}
84 966 {}
218 136 {}
443 444 {}
833 355 {}
833 504 {}
833 525 {}
833 946 {}
833 950 {}
40 891 {}
414 116 {}
461 826 {}
78 107 {}
78 252 {}
275 828 {}
43 131 {}
43 661 {}
268 665 {}
268 875 {}
583 144 {}
636 131 {}
636 610 {}
44 517 {}
192 537 {}
390 973 {}
492 317 {}
674 857 {}
957 343 {}
957 705 {}
201 442 {}
46 131 {}
46 139 {}
46 408 {}
46 802 {}
159 802 {}
159 901 {}
510 243 {}
510 409 {}
510 792 {}
928 675 {}
47 791 {}
452 75 {}
452 747 {}
508 864 {}
761 899 {}
775 154 {}
226 264 {}
226 272 {}
226 309 {}
226 660 {}
820 118 {}
820 402 {}
820 896 {}
820 978 {}
911 646 {}
911 932 {}
49 74 {}
49 262 {}
49 567 {}
842 696 {}
859 50 {}
859 723 {}
50 171 {}
96 139 {}
96 173 {}
96 900 {}
576 171 {}
576 408 {}
855 71 {}
855 280 {}
855 484 {}
855 586 {}
51 465 {}
51 799 {}
230 404 {}
230 408 {}
230 837 {}
257 375 {}
470 119 {}
754 908 {}
53 721 {}
53 759 {}
68 418 {}
68 779 {}
399 242 {}
450 267 {}
450 432 {}
455 671 {}
54 843 {}
204 272 {}
242 344 {}
242 609 {}
311 563 {}
311 723 {}
431 103 {}
431 411 {}
513 979 {}
55 271 {}
55 405 {}
55 464 {}
55 675 {}
376 197 {}
378 403 {}
378 520 {}
865 926 {}
57 344 {}
57 598 {}
62 269 {}
209 600 {}
279 189 {}
704 308 {}
934 271 {}
59 369 {}
59 391 {}
113 867 {}
113 879 {}
137 225 {}
137 434 {}
137 456 {}
137 498 {}
162 309 {}
588 763 {}
109 835 {}
144 609 {}
176 451 {}
176 682 {}
180 283 {}
549 111 {}
549 523 {}
549 946 {}
804 365 {}
804 607 {}
63 168 {}
465 217 {}
465 232 {}
64 373 {}
64 641 {}
64 759 {}
64 983 {}
254 527 {}
563 845 {}
749 336 {}
749 845 {}
65 411 {}
858 447 {}
858 903 {}
296 265 {}
296 834 {}
876 101 {}
876 473 {}
876 501 {}
876 947 {}
947 362 {}
67 169 {}
67 334 {}
67 989 {}
71 289 {}
71 312 {}
86 915 {}
86 922 {}
163 606 {}
338 719 {}
493 304 {}
493 543 {}
493 592 {}
493 854 {}
848 360 {}
867 773 {}
867 890 {}
867 892 {}
69 847 {}
234 110 {}
234 561 {}
234 966 {}
348 525 {}
700 590 {}
734 365 {}
734 978 {}
734 994 {}
899 313 {}
70 289 {}
70 741 {}
789 437 {}
886 580 {}
886 614 {}
901 261 {}
901 553 {}
901 662 {}
72 661 {}
72 852 {}
167 890 {}
167 959 {}
786 359 {}
74 774 {}
259 373 {}
403 111 {}
75 795 {}
199 133 {}
